ID,LAT,LONG,START DATE,END DATE,CANOPY COVER N,CANOPY COVER E,CANOPY COVER S,CANOPY COVER W,CANOPY COVER C,WOOD N,WOOD E,WOOD S,WOOD W,HERB N,HERB E,HERB S,HERB W,GRASS N,GRASS E,GRASS S,GRASS W,NAKED SOIL N,NAKED SOIL E,NAKED SOIL S,NAKED SOIL W,ROCKY SCREE N,ROCKY SCREE E,ROCKY SCREE S,ROCKY SCREE W,DOWN WOOD N,DOWN WOOD E,DOWN WOOD S,DOWN WOOD W,LEAF LITTER N,LEAF LITTER E,LEAF LITTER S,LEAF LITTER W
H2NFS8,39.93687,-120.61807,08-06-2015,11-06-2015,46,35,0,49,17,2,0,9,1,6,8,1,11,0,0,0,0,4,2,4,0,24,5,25,1,9,14,3,16,5,21,8,21
H2NFS5,40.04793,-120.36968,09-06-2015,12-06-2015,47,68,41,55,0,4,46,15,5,0,0,0,2,46,4,35,26,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12
H5NFS2,39.92159,-120.62604,08-06-2015,11-06-2015,68,84,53,45,84,31,2,14,27,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,13,14,4,19,35,21,12
H5NFS6,39.7752,-120.43809,10-06-2015,13-06-2015,27,7,2,86,0,46,48,46,41,0,0,0,2,0,0,0,0,2,1,2,6,0,0,0,0,2,1,2,0,0,0,0,1
IB10,40.22754,-120.82094,12-06-2015,15-06-2015,34,0,28,0,0,9,22,15,3,0,0,0,3,23,17,22,17,5,4,1,11,1,0,0,0,0,0,0,16,12,7,11,0
H2NFS9,40.16164,-121.21246,15-06-2015,18-06-2015,68,81,49,86,0,3,12,16,8,0,0,0,0,0,0,0,0,0,2,2,0,42,15,30,21,2,8,2,7,3,13,0,14
H4FS8,40.06634,-121.22009,15-06-2015,18-06-2015,38,17,59,74,8,0,4,12,3,15,12,7,4,1,1,0,0,6,7,4,8,2,0,2,19,13,15,5,4,13,11,20,12
H4NFS1,40.0132,-121.01045,15-06-2015,18-06-2015,83,24,23,78,71,2,11,3,12,9,3,5,0,10,11,10,11,1,2,2,1,0,0,0,0,4,4,5,7,24,19,25,19
H4NFS5,39.78447,-121.38789,17-06-2015,20-06-2015,70,87,79,85,73,5,6,6,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,24,34,36,18,20,10,8
H3FS8,39.7197,-121.2009,16-06-2015,19-06-2015,75,80,86,59,82,1,2,3,38,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,14,10,17,7,30,37,30,4
H4NFS10,39.78817,-121.34205,16-06-2015,19-06-2015,39,90,86,78,85,19,12,14,12,0,0,0,4,0,0,0,0,2,0,0,2,0,0,0,0,1,18,13,7,28,20,23,25
H1NFS11,39.88726,-120.66755,22-06-2015,25-06-2015,45,88,61,7,63,12,26,24,11,2,0,1,7,0,0,0,0,6,9,1,10,0,0,7,12,10,11,8,3,20,4,9,7
H4NFS9,39.87967,-120.70183,22-06-2015,25-06-2015,73,18,22,70,13,5,6,13,1,1,0,3,0,0,0,1,0,16,6,2,17,0,1,0,0,25,19,11,10,3,18,20,22
H2NFS4,39.6929,-120.59138,22-06-2015,25-06-2015,63,10,72,77,65,2,5,4,1,0,22,0,0,0,0,0,0,10,7,9,2,0,0,0,0,14,12,21,33,24,4,16,14
H1NFS12,40.01299,-120.65998,23-06-2015,26-06-2015,90,84,27,90,83,2,4,5,4,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,23,33,28,28,25,11,14,18
H5FS4,40.23024,-120.62558,23-06-2015,26-06-2015,58,18,83,21,13,3,2,7,9,13,3,10,10,4,3,5,4,6,3,6,10,13,8,1,6,3,19,7,5,8,12,14,6
IB15,40.23626,-120.75668,01-07-2015,04-07-2015,0,52,18,98,66,13,2,3,26,10,6,7,4,0,1,8,2,7,11,8,2,9,0,0,10,2,18,13,0,9,12,14,6
H4FS11,40.131138,-121.151514,29-06-2015,02-07-2015,20,26,35,42,56,2,3,3,1,10,22,13,3,0,0,0,0,2,6,6,3,0,0,0,0,13,5,4,5,23,14,24,38
H3NFS1,40.05494,-121.06383,29-06-2015,02-07-2015,78,65,66,85,81,8,13,1,2,0,0,1,0,0,0,0,2,2,3,3,3,5,3,22,3,16,16,12,20,19,15,11,20
H4NFS4,39.75164,-121.14058,30-06-2015,03-07-2015,77,59,85,72,56,24,16,14,12,0,7,0,0,0,0,0,0,0,1,0,3,0,4,3,0,14,11,14,18,12,11,19,17
H1NFS9,39.81863,-121.14384,30-06-2015,03-07-2015,90,72,13,81,25,11,12,25,28,0,9,0,0,0,0,0,0,4,0,2,0,1,0,1,0,18,10,11,14,16,19,11,8
OB4,40.13065,-120.65966,01-07-2015,04-07-2015,52,92,88,89,61,4,8,4,5,5,7,9,5,13,2,1,0,1,0,0,0,5,16,1,7,7,5,19,16,15,12,11,17
H3FS7,39.826443,-121.40697,30-06-2015,03-07-2015,62,68,27,82,58,6,22,9,6,22,7,7,2,0,0,2,0,4,1,0,6,0,0,0,0,6,11,22,3,12,9,10,33
IB26,40.23687,-120.6538,08-07-2015,11-07-2015,0,1,0,0,7,0,0,4,16,7,20,1,1,23,19,0,13,2,5,2,1,8,3,39,5,10,3,4,7,0,0,0,7
H1FS3,39.8414,-121.47158,06-07-2015,09-07-2015,70,81,66,64,81,2,10,15,8,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,29,18,11,18,16,19,24,24
H2FS6,39.86057,-120.26261,07-07-2015,10-07-2015,0,0,8,0,0,10,5,2,11,0,1,0,0,2,7,0,1,7,1,1,15,27,36,44,22,4,0,2,1,0,0,1,0
H5NFS11,39.82287,-120.65253,07-07-2015,10-07-2015,80,69,54,72,56,7,18,11,5,0,2,3,0,0,0,1,0,1,1,6,9,0,3,5,2,21,15,11,16,21,11,13,18
H5FS3,39.81104,-120.79711,07-07-2015,10-07-2015,19,62,9,13,17,30,16,38,31,0,0,1,1,0,0,0,0,4,11,7,4,0,7,0,0,16,10,3,14,0,6,1,0
IB27,40.22155,-120.76513,08-07-2015,11-07-2014,17,6,87,27,91,3,0,5,0,2,0,0,4,0,1,0,1,7,11,11,2,19,31,21,5,1,0,3,13,8,7,10,25
H5FS7,40.03206,-120.36269,13-07-2015,16-07-2015,8,17,24,44,21,33,34,29,21,1,1,1,1,0,1,0,0,0,0,0,1,5,6,13,4,2,2,6,2,9,6,1,21
H2FS12,40.02063,-120.38555,13-07-2015,16-07-2015,22,0,7,0,0,2,7,3,7,6,4,7,2,27,17,14,11,11,6,18,22,0,0,5,2,3,16,0,3,1,0,3,2
H5FS12,40.13114,-120.43128,13-07-2015,16-07-2015,0,0,0,33,0,10,8,9,1,7,3,2,3,9,35,12,1,21,2,15,12,0,0,0,1,3,2,11,11,0,0,1,21
H1FS8,39.93301,-121.3286,14-07-2015,17-07-2015,0,0,0,4,6,16,19,1,6,1,0,0,2,7,4,0,7,8,11,20,11,15,12,28,20,3,4,1,4,0,0,0,0
H5NFS10,39.85697,-121.06018,14-07-2015,17-07-2015,71,78,62,90,83,29,19,13,10,0,0,0,0,0,0,0,0,3,0,2,7,0,0,0,0,11,14,19,17,7,17,16,16
H3NFS9,39.9749,-121.02957,15-07-2015,18-07-2015,86,63,77,81,85,10,10,13,3,0,0,0,0,0,0,0,0,7,0,5,1,6,1,5,0,0,6,3,6,27,33,24,40
H3NFS4,39.98629,-121.01048,15-07-2015,18-07-2015,91,90,76,79,95,8,5,3,4,0,0,1,0,0,0,0,0,0,5,10,0,0,0,0,0,10,15,13,19,32,25,23,27
H3FS1,40.01896,-121.25504,20-07-2015,23-07-2015,3,11,0,16,18,11,37,19,26,0,0,3,0,5,9,14,1,6,2,7,1,17,1,6,8,8,1,0,12,3,0,1,1
H3FS12,39.90181,-121.35343,20-07-2015,23-07-2015,34,21,85,44,48,10,2,1,5,2,0,0,0,7,0,2,5,12,0,0,19,16,47,47,18,0,0,0,3,3,1,0,0
H1FS5,40.21116,-120.81617,21-07-2015,24-07-2015,3,37,17,24,14,23,12,12,23,1,5,0,3,2,5,4,5,1,5,3,0,13,16,28,14,10,7,3,5,0,0,0,0
H1FS4,40.16163,-120.75518,21-07-2015,24-07-2015,9,41,50,18,61,3,1,1,3,4,1,0,6,1,0,0,5,5,5,9,12,0,0,0,1,14,6,13,6,23,37,27,17
H3NFS3,39.70433,-120.53036,22-07-2015,25-07-2015,52,12,86,46,61,2,15,7,3,6,5,5,2,0,0,0,7,1,9,0,8,0,8,6,3,18,7,1,8,23,6,31,19
H5FS10,40.2607,-120.73995,21-07-2015,24-07-2015,0,0,0,0,0,4,6,7,4,1,4,6,13,31,15,12,23,10,10,17,7,2,3,0,1,2,12,8,2,0,0,0,0
H2FS5,40.17303,-120.62178,26-07-2015,29-07-2015,0,12,0,0,2,21,9,18,28,3,1,0,1,1,3,6,1,4,15,8,12,18,17,4,3,1,4,4,3,2,1,1,5
H2FS2,40.19218,-120.57217,26-07-2015,29-07-2015,0,0,5,0,21,7,4,6,7,2,2,1,1,1,0,2,0,19,24,17,21,5,18,19,21,1,0,5,0,15,2,0,0
H4FS9,40.15781,-121.09054,27-07-2015,30-07-2015,37,47,25,0,81,1,2,2,4,2,0,1,2,0,0,3,0,1,4,4,18,0,3,0,0,33,14,18,15,13,27,22,11
H4FS1,40.11581,-121.0792,27-07-2015,30-07-2015,68,59,79,85,89,3,1,2,1,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,22,17,44,19,21,29,4,30
H3NFS10,40.00171,-120.95788,28-07-2015,31-07-2015,17,38,70,61,83,1,9,4,9,10,0,2,0,1,0,4,0,8,1,2,4,11,1,1,7,0,7,8,1,19,32,29,9
H2NFS6,39.81866,-120.54942,28-07-2015,31-07-2015,66,48,39,43,54,0,2,5,5,3,1,6,5,0,0,0,3,3,3,1,3,0,1,0,0,7,3,3,11,37,40,35,23
H1NFS5,39.94068,-120.76662,28-07-2015,31-07-2015,49,62,55,20,81,22,33,10,22,0,0,1,0,0,0,0,0,2,3,11,6,11,1,4,9,7,7,18,5,8,6,6,8
